iter	Logloss
0	0.6740954718
1	0.6575869479
2	0.6430349117
3	0.6303003709
4	0.6189859071
5	0.6089758041
6	0.6002089756
7	0.5933442243
8	0.5858980515
9	0.5792082072
10	0.5736209611
11	0.5681495272
12	0.5640154179
13	0.5596295116
14	0.5558132155
15	0.5525136212
16	0.5493766068
17	0.5457588913
18	0.5431643038
19	0.5404600258
20	0.5379238389
21	0.535638683
22	0.5329638034
23	0.5311076322
24	0.5287064343
25	0.5269280476
26	0.5254809468
27	0.5238368768
28	0.5226103305
29	0.5209561409
30	0.5195567953
31	0.5182659331
32	0.5166849246
33	0.5154367408
34	0.5140339582
35	0.5129595721
36	0.5116948796
37	0.5106360514
38	0.5096162313
39	0.5087031911
40	0.5078126987
41	0.5069253908
42	0.5061096401
43	0.5052966188
44	0.5045877995
45	0.5038424287
46	0.5031162229
47	0.5024500481
48	0.5016265002
49	0.5009989763
50	0.5002443631
51	0.4996136604
52	0.4988951164
53	0.4983119468
54	0.4974244821
55	0.4968241423
56	0.4963179002
57	0.4957860494
58	0.4950765999
59	0.494596014
60	0.494128501
61	0.493587553
62	0.4931412153
63	0.4927162417
64	0.4922152467
65	0.4916882154
66	0.4912595576
67	0.4909279926
68	0.4904269606
69	0.4900707802
70	0.489519317
71	0.4891319089
72	0.4887711535
73	0.4884284115
74	0.488105567
75	0.4877573477
76	0.4873197159
77	0.4870372537
78	0.4867451971
79	0.4864203886
80	0.4860007624
81	0.485680811
82	0.4854507288
83	0.485156933
84	0.4849176215
85	0.4846420171
86	0.4844066093
87	0.4841447532
88	0.4838901502
89	0.4836210488
90	0.483342651
91	0.4830881174
92	0.4828519155
93	0.4825590563
94	0.4823505827
95	0.4821120671
96	0.4818879377
97	0.481626949
98	0.4813914364
99	0.4811577366
100	0.4809430212
101	0.4807279885
102	0.4805686897
103	0.4803537263
104	0.480164347
105	0.4799037441
106	0.4797175203
107	0.4795181937
108	0.4794040129
109	0.4792438305
110	0.4790960909
111	0.4789069758
112	0.4787157006
113	0.4785521837
114	0.4783947446
115	0.4782506854
116	0.4781301993
117	0.4779468103
118	0.4777827434
119	0.477648734
120	0.4774861438
121	0.477326616
122	0.4771594021
123	0.4770436098
124	0.4769023386
125	0.4767487236
126	0.4766331723
127	0.4765046328
128	0.4763369223
129	0.476203974
130	0.4760457661
131	0.4759026092
132	0.475768105
133	0.4756249029
134	0.4755202539
135	0.4753817523
136	0.4752384568
137	0.4750942192
138	0.4749766723
139	0.4748774725
140	0.4747744472
141	0.4746608084
142	0.4745542146
143	0.4744652749
144	0.4743443461
145	0.474244718
146	0.4741199807
147	0.4740117406
148	0.4738857446
149	0.4737765937
150	0.4736762942
151	0.4735771346
152	0.4734599723
153	0.4733336422
154	0.4732151662
155	0.4731159155
156	0.4730112046
157	0.4729152077
158	0.4728204068
159	0.4727139742
160	0.4726043723
161	0.4724985554
162	0.4724217105
163	0.4723019528
164	0.4722027098
165	0.4720943265
166	0.4720319316
167	0.4719575919
168	0.4718648344
169	0.4717602415
170	0.471634581
171	0.4715699506
172	0.4714975662
173	0.4713740261
174	0.4712666188
175	0.4711929911
176	0.4711044851
177	0.4710014593
178	0.4709026493
179	0.4708252938
180	0.4707297884
181	0.4706173251
182	0.4705223158
183	0.4704709839
184	0.470357272
185	0.4702664087
186	0.4701617327
187	0.47007893
188	0.4699653455
189	0.4698777828
190	0.4697738422
191	0.4696729557
192	0.4695885701
193	0.4695062252
194	0.469407309
195	0.4692938089
196	0.4691855142
197	0.4691086595
198	0.4690339006
199	0.4689574712
200	0.4688650811
201	0.4687343223
202	0.468654268
203	0.4685662002
204	0.4684687323
205	0.4683911465
206	0.4683251883
207	0.4682494452
208	0.4681646343
209	0.4680949341
210	0.4680004553
211	0.4679156123
212	0.4678368111
213	0.4677525494
214	0.4676515517
215	0.4675438098
216	0.4674334108
217	0.4673488676
218	0.4672575113
219	0.4671683444
220	0.4670645463
221	0.4669708639
222	0.4668514563
223	0.4667325719
224	0.4666263727
225	0.4665163348
226	0.4664521125
227	0.4663520237
228	0.466235601
229	0.4661478949
230	0.4660279114
231	0.4659387688
232	0.4658656936
233	0.4657792931
234	0.4656820067
235	0.4655781568
236	0.4654941041
237	0.4654053617
238	0.4653038168
239	0.4651971419
240	0.4651016615
241	0.4649979928
242	0.4648789581
